+------------------------+--------------------+--------------------+------------------------+---------------------+
|           Z            |         F          |      F deriv       |           U            |         divF        |
+------------------------+--------------------+--------------------+------------------------+---------------------+
|          0.0           |         0          |         0          | 2.2224918926019005e-06 |   90454.5674117516  |
|         0.0001         | 0.7914775037626952 | 1.5829550279449345 | 2.222491867978156e-06  |  90454.57397808348  |
|         0.0002         | 2.374432552127178  | 3.1659103485700126 | 2.222491794106921e-06  |  90454.59367707549  |
| 0.00030000000000000003 | 3.957388145012865  | 4.7488663770726705 | 2.2224916709881787e-06 |  90454.62650872141  |
|         0.0004         | 5.540344609132533  |  6.3318234333592   | 2.222491498621902e-06  |  90454.67247301282  |
|         0.0005         | 7.123302257586001  | 7.914781864562044  | 2.222491277008054e-06  |  90454.73156993638  |
| 0.0006000000000000001  | 8.706261471538346  | 9.497742045039828  | 2.222491006146586e-06  |  90454.80379947403  |
|         0.0007         | 10.28922261854175  | 11.080704301505714 | 2.222490686037438e-06  |  90454.88916160575  |
|         0.0008         | 11.872185984470383 | 12.663668947060039 | 2.2224903166805405e-06 |  90454.98765630549  |
| 0.0009000000000000001  | 13.455151909650745 | 14.246636356061973 | 2.2224898980758144e-06 |  90455.09928354452  |
|         0.001          | 15.038120802474687 | 15.82960687564486  | 2.2224894302231672e-06 |  90455.22404329163  |
|         0.0011         | 16.62109294881707  | 17.412580832522792 | 2.2224889131224977e-06 |  90455.36193550914  |
| 0.0012000000000000001  | 18.204068716231223 | 18.99555858744273  | 2.222488346773693e-06  |   90455.5129601567  |
| 0.0013000000000000002  | 19.787048458657743 | 20.57854048073241  |  2.22248773117663e-06  |  90455.67711719131  |
|         0.0014         | 21.370032502811544 | 22.16152685952649  | 2.2224870663311744e-06 |  90455.85440656343  |
|         0.0015         | 22.953021216247002 | 23.744518050540428 | 2.222486352237181e-06  |  90456.04482822388  |
|         0.0016         | 24.53601488484071  | 25.32751440090969  | 2.2224855888944957e-06 |  90456.24838211405  |
| 0.0017000000000000001  | 26.119013916986983 | 26.910516284996234 | 2.2224847763029517e-06 |  90456.46506817624  |
| 0.0018000000000000002  | 27.70201865301545  | 28.49352403632342  | 2.2224839144623713e-06 |  90456.69488634694  |
|         0.0019         | 29.285029419643227 | 30.076537988415144 | 2.222483003372567e-06  |  90456.93783655857  |
|         0.002          | 30.868046557200987 | 31.659558495215375 | 2.222482043033341e-06  |  90457.19391874094  |
| 0.0021000000000000003  | 32.45107043324599  | 33.24258590386213  | 2.222481033444483e-06  |  90457.46313281954  |
|         0.0022         | 34.034101374497055 | 34.825620547881044 | 2.2224799746057737e-06 |  90457.74547871479  |
|         0.0023         | 35.61713972128661  | 36.408662767604845 | 2.2224788665169824e-06 |  90458.04095634512  |
| 0.0024000000000000002  | 37.200185813947776 | 37.99171291698008  | 2.2224777091778683e-06 |  90458.34956562292  |
|         0.0025         | 38.783240020040395 | 39.574771343147304 | 2.222476502588179e-06  |  90458.67130645944  |
| 0.0026000000000000003  | 40.36630266628591  | 41.15783837282841  | 2.2224752467476515e-06 |  90459.00617876073  |
|         0.0027         | 41.94937407940655  | 42.740914366778554 | 2.2224739416560136e-06 |  90459.35418242808  |
|         0.0028         | 43.53245465419047  | 44.32399967214066  |  2.22247258731298e-06  |  90459.71531736045  |
| 0.0029000000000000002  | 45.115544690135344 |  45.9070946156389  | 2.2224711837182565e-06 |  90460.08958345265  |
|         0.003          | 46.698644541191925 | 47.49019955803099  | 2.2224697308715376e-06 |  90460.47698059362  |
